JesuitPlaceAbbreviation,Places,MissionDate(s),ViceProvinceDate(s),ProvinceDate(s),Latitude,Longitude,,Placeholder City,,Placeholder Country
It,Italiae,,,1806-1831,41.8933203,12.4829321,,Rome,,Italy
Jams,Jamshedpurensis,,1956,,22.8015194,86.2029579,,Jamshedpur,,India
Jug,Jugoslaviae,,1919-1942,,45.8131847,15.9771774,,Zagreb,,Croatia
Kan,Kanarensis,,1956,,12.9791198,77.5912997,,Bangaluru,,India
Ker,Keralensis,,1960,,10.3528744,76.5120396,,Kerala,,India
Leg,Legionensis,,,1918,42.5989995,-5.5682413,,León,,Spain
Lett,Lettoniae et Estoniae,1938,,,59.4250354,24.74386926,,Tallin,,Estonia
Lit,Lituaniae,,,1930,54.8982139,23.9044817,,Kaunas,,Lithuania
Loy,Loyolensis,,,1962,42.7343909,-3.413458,,Oña,,Spain
Lugd,Lugdunensis,,,1836-1961,45.7578137,4.8320114,,Lyon,,France
Lus,Lusitaniae,,,1880,38.7077507,-9.1365919,,Lisbon,,Portugal
Madec,Madecassensis,,1967,,-18.9100122,47.5255809,,Antananarivo,,Madagascar
Madur,Madurensis,,,1952,9.833333,77.833333,,Madurai,,India
Mang,Mangalorensis,,1955-1956,,12.8698101,74.8430082,,Mangalore,,India
Mary,Marylandiae,,,1833-1880,39.2908816,-76.610759,,Baltimore,,United States
MaryNEb,Marylandiae-Neo Eboracensis,,,1880-1943,40.7127281,-74.0060152,,New York,,United States
Melit,Melitensis,,1947,,35.8989818,14.5136759,,Valletta,,Malta
Mex,Mexicana,,,1816; 1907-1957,19.4326296,-99.1331785,,Mexico City,,Mexico
MexM,Mexicana Meridionalis,,,1957-1968,19.4326296,-99.1331785,,Mexico City,,Mexico
MexS,Mexicana Septemtrionalis,,,1957-1968,20.6720375,-103.3383962,,Guadalajara,,Mexico
Miss,Missourianae,1831,1840,1863,38.6268039,-90.1994097,,St. Louis,,United States
MReg,Montis Regii,,,1964-1968,45.5505849,-73.60223174,,Montreal,,Canada
NAngl,Novae Angliae,,,1926,42.3602534,-71.0582912,,Boston,,United States
NAur,Neo-Aurelianensis,1880,,1907,29.9499323,-90.0701156,,New Orleans,,United States
Neap,Neapolitana,,,1822,40.8359336,14.2487826,,Naples,,Italy
NEb,Neo-Eboracensis,,,1879-1880; 1943,40.7127281,-74.0060152,,New York,,United States
Neer,Neerlandiae,,1849,1850,52.0799838,4.3113461,,The Hague,,Netherlands
